"DEMACRO                                 ","DEL.SEC.FRANCO DA ROCHA                 ","DEL.POL.CAJAMAR               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.COTIA                 "
"DEINTER 2 - CAMPINAS                    ","DEL.SEC.JUNDIAI                         ","02º D.P. JUNDIAI              "
"DIRD - DEPTO IDENT.REG.DIV              ","DIV.POL.PORTO/AERO/PROT.TURIS-DECADE    ","06º D.P. METROPOLITANO        "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.POL.IBIÚNA                "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","13º D.P. CASA VERDE           "
"DEMACRO                                 ","DEL.SEC.MOGI DAS CRUZES                 ","02º D.P. SUZANO               "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","DEL.POL.EMBU DAS ARTES        "
"DECAP                                   ","DEL.SEC.7º ITAQUERA                     ","103º D.P. COHABII/ITAQU.      "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","57º D.P. PARQUE DA MOOCA      "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.POL.PILAR DO SUL          "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","46º D.P.  PERUS               "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","73º D.P. JACANA               "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","74º D.P. PARADA TAIPAS        "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","01º D.P. EMBU DAS ARTES       "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.ITAPETININGA                    ","01º D.P. ITAPETININGA         "
"DEMACRO                                 ","DEL.SEC.S.BERNARDO DO CAMPO             ","06º D.P. S.BERNARDO DO CAMPO  "
"DEINTER 2 - CAMPINAS                    ","DEL.SEC.JUNDIAI                         ","DEL.POL.ITUPEVA               "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","09º D.P. - CARANDIRU          "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","38º D.P.  VILA AMALIA         "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.ITAPETININGA                    ","DEL.POL.BOITUVA               "
"DEINTER 6 - SANTOS                      ","DEL.SEC.SANTOS                          ","DEL.POL.BERTIOGA              "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","28º D.P.  FREGUESIA DO O      "
"DEINTER 1 - SAO JOSE DOS CAMPOS         ","DEL.SEC.S.JOSÉ DOS CAMPOS               ","03º D.P. S.JOSE DOS CAMPOS    "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.POL.PLANTÃO ITU           "
"DECAP                                   ","DEL.SEC.7º ITAQUERA                     ","62º D.P. ERMELINO MATARAZZO   "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","10º D.P. PENHA DE FRANCA      "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","DEL.POL.ITAPECERICA DA SERRA  "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","05º D.P. ACLIMACAO            "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.SEC.SOROCABA              "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","21º D.P.  VILA MATILDE        "
"DEINTER 6 - SANTOS                      ","DEL.SEC.SANTOS                          ","02º D.P. SANTOS               "
"DEMACRO                                 ","DEL.SEC.GUARULHOS                       ","03º D.P. GUARULHOS            "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.ITAPETININGA                    ","DEL.POL.PLANTÃO TATUI         "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","01º D.P. SE                   "
"DEINTER 2 - CAMPINAS                    ","DEL.SEC.JUNDIAI                         ","DEL.POL.ITATIBA               "
"DEMACRO                                 ","DEL.SEC.S.BERNARDO DO CAMPO             ","01º D.P. S.B.C-DR OMAR CASSIM "
"DECAP                                   ","DEL.SEC.8º SAO MATEUS                   ","53º D.P.  PARQUE DO CARMO     "
"DECAP                                   ","DEL.SEC.7º ITAQUERA                     ","50º D.P.  ITAIM PAULISTA      "
"DEMACRO                                 ","DEL.SEC.SANTO ANDRÉ                     ","02º D.P. SANTO ANDRÉ          "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","78º D.P. JARDINS              "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","20º D.P.  AGUA FRIA           "
"DECAP                                   ","DEL.SEC.6º SANTO AMARO                  ","11º D.P. SANTO AMARO          "
"DECAP                                   ","DEL.SEC.6º SANTO AMARO                  ","101º D.P. JDIM IMBUIAS        "
"DEINTER 1 - SAO JOSE DOS CAMPOS         ","DEL.SEC.JACAREI                         ","DEL.SEC.JACAREI PLANTÃO       "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","04º D.P. CONSOLAÇÃO           "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","30º D.P.  TATUAPE             "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","39º D.P.  VILA GUSTAVO        "
"DEMACRO                                 ","DEL.SEC.DIADEMA                         ","01º D.P. DIADEMA              "
"DEMACRO                                 ","DEL.SEC.SANTO ANDRÉ                     ","01º D.P. SANTO ANDRÉ          "
"DECAP                                   ","DEL.SEC.2º SUL                          ","16º D.P. VILA CLEMENTINO      "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","PLANTÃO DE SOROCABA - Z. NORTE"
